epoch,step,train_MulticlassAccuracy,train_MulticlassF1Score,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_loss
0,99,0.97802734375,0.9471217393875122,0.2757719159126282,,,
0,199,0.9794921875,0.9386935830116272,0.2132081538438797,,,
0,299,0.9814453125,0.9459291696548462,0.17845872044563293,,,
0,389,,,,0.97770756483078,0.9471032619476318,0.18933558464050293
1,399,0.98388671875,0.9753130674362183,0.06651929020881653,,,
1,499,0.98583984375,0.9796848297119141,0.09474854171276093,,,
1,599,0.98388671875,0.9778465032577515,0.097625233232975,,,
1,699,0.98095703125,0.9774507284164429,0.12095501273870468,,,
1,779,,,,0.9740766882896423,0.9442161321640015,0.21946124732494354
2,799,0.9951171875,0.9945176243782043,0.023254042491316795,,,
2,899,0.99658203125,0.9964395761489868,0.019338609650731087,,,
2,999,0.99169921875,0.9888634085655212,0.03387189656496048,,,
2,1099,0.99169921875,0.9903298020362854,0.04771706089377403,,,
2,1169,,,,0.9728650450706482,0.938939094543457,0.2509121596813202
