epoch,step,train_MulticlassAccuracy,train_MulticlassF1Score,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_loss
0,99,0.97998046875,0.9521414041519165,0.2790066599845886,,,
0,199,0.974609375,0.930267333984375,0.2664554715156555,,,
0,299,0.9765625,0.9137215614318848,0.19371475279331207,,,
0,389,,,,0.9772849082946777,0.944830596446991,0.1957334578037262
1,399,0.98583984375,0.9643097519874573,0.08035202324390411,,,
1,499,0.986328125,0.9612413644790649,0.07422448694705963,,,
1,599,0.97900390625,0.9369413256645203,0.09427931904792786,,,
1,699,0.98583984375,0.9774914383888245,0.07100946456193924,,,
1,779,,,,0.9738754034042358,0.9451375603675842,0.22515961527824402
2,799,0.990234375,0.9892593026161194,0.04390450939536095,,,
2,899,0.99365234375,0.9924637079238892,0.03715100511908531,,,
2,999,0.99267578125,0.9932430386543274,0.03340662270784378,,,
2,1099,0.99169921875,0.992136538028717,0.03980790823698044,,,
2,1169,,,,0.9725590944290161,0.9429702758789062,0.257291316986084
